Make,Model,Meter,ServiceOrderID,Wo Number,Wo Segment,Description,Contract Type,M_Actual_ServiceOrderLaborHrsTotal,Wo Status
BESL,470P,538,S100050177940160003,5017794,3,"",C&F,9.50,I
JD,470P,7,S100024851420114013,2485142,13,"",C&F,2.00,I
JD,470P,13,S100016439750106004,1643975,4,"",C&F,7.50,I
JD,470P,96,S100047086770157002,4708677,2,"",C&F,2.00,I
JD,470P,225,S100035268520142001,3526852,1,"",C&F,0.25,I
JD,470P,485,S100016484760106004,1648476,4,"",C&F,0.00,I
JD,470P,561,S100024916730114003,2491673,3,"",C&F,0.00,I
JD,470P,694,S100050219390160002,5021939,2,"",C&F,3.50,I
JD,470P,737,S100022472140112003,2247214,3,"",C&F,2.25,I
JD,470P,897,S100022480520112003,2248052,3,"",C&F,2.50,I
JD,470P,1062,S100016527520106001,1652752,1,"",C&F,1.25,I
JD,470P,1111,S100022482630112004,2248263,4,"",C&F,1.00,I
JD,470P,1353,S100052164960162005,5216496,5,"",C&F,0.00,I
JD,470P,1774,S100050220160160002,5022016,2,"",C&F,1.60,I
JD,470P,2351,S101095017710109003,109501771,3,"",C&F,1.25,""
JD,470P,3144,S100045103040155001,4510304,1,"",C&F,1.00,I
JD,470P,3310,S101585008150158003,158500815,3,"",C&F,9.70,I
JD,470P,1089,S100047118260157004,4711826,4, all Hydraulic Pressures set to Top of Specification!,C&F,2.25,I
JD,470P,1353,S100052164960162002,5216496,2, CYLINDRESDE BOOM DRIFT,C&F,33.12,I
JD,470P,4007,S100014450080104002,1445008,2, DIAGNOSE DTC 1639.01 CODE FAN SPEED EXTREMELY LOW,C&F,2.45,I
JD,470P,6681,S100016594250106002,1659425,2, PERFOM WARRANTY INSPECTION,C&F,1.00,I
JD,470P,5,S100043181060153001,4318106,1, REMOVE STICK / COUNTERWEIGHT,C&F,19.50,I
JD,470P,1718,S100018542680108003,1854268,3, T/S ECU FAULTS,C&F,5.00,I
JD,470P,0,S100015626080105001,1562608,1, UNLOAD FROM TRANSPORT.,C&F,2.25,I
JD,470P,3,S100016387730106009,1638773,9,*** VOID *** VOID *** VOID *** VOID *** VOID ***,C&F,2.00,I
JD,470P,8,S100024882450114001,2488245,1,***STOCK MACHINE***,C&F,0.00,I
JD,470P,5,S100024852110114001,2485211,1,***STOCK***,C&F,3.50,I
JD,470P,787,S100016556090106001,1655609,1,1000 HOUR SERVICE,C&F,6.00,I
JD,470P,841,S100016544410106001,1654441,1,1000 HOUR SERVICE,C&F,6.25,I
JD,470P,845,S100033773980148001,3377398,1,1000 HOUR SERVICE,C&F,6.25,I
JD,470P,862,S100018536570108003,1853657,3,1000 HOUR SERVICE,C&F,7.50,I
JD,470P,939,S100016532580106001,1653258,1,1000 HOUR SERVICE,C&F,6.00,I
JD,470P,950,S100018535360108001,1853536,1,1000 HOUR SERVICE,C&F,2.00,I
JD,470P,950,S100018535360108003,1853536,3,1000 HOUR SERVICE,C&F,6.00,I
JD,470P,952,S100012025660102002,1202566,2,1000 HOUR SERVICE,C&F,6.50,I
JD,470P,955,S101565003130156002,156500313,2,1000 HOUR SERVICE,C&F,6.50,I
JD,470P,960,S100033904280148001,3390428,1,1000 HOUR SERVICE,C&F,7.75,I
JD,470P,961,S100052157450162002,5215745,2,1000 HOUR SERVICE,C&F,4.50,I
JD,470P,963,S100033951940148001,3395194,1,1000 HOUR SERVICE,C&F,6.50,I
JD,470P,969,S100030570380122001,3057038,1,1000 HOUR SERVICE,C&F,6.00,I
JD,470P,974,S100033904430148001,3390443,1,1000 HOUR SERVICE,C&F,6.25,I
JD,470P,975,S100033774270148001,3377427,1,1000 HOUR SERVICE,C&F,6.25,I
JD,470P,978,S100033609320148001,3360932,1,1000 HOUR SERVICE,C&F,6.25,I
JD,470P,981,S100033610630148001,3361063,1,1000 HOUR SERVICE,C&F,5.00,I
JD,470P,987,S100033821600148001,3382160,1,1000 HOUR SERVICE,C&F,3.25,I
JD,470P,988,S100051168480161002,5116848,2,1000 HOUR SERVICE,C&F,5.00,I
JD,470P,989,S100068027200178002,6802720,2,1000 HOUR SERVICE,C&F,5.50,I
JD,470P,994,S100055128320165002,5512832,2,1000 HOUR SERVICE,C&F,6.75,I
JD,470P,1005,S100043286510153001,4328651,1,1000 HOUR SERVICE,C&F,6.25,I
JD,470P,1009,S100033774260148001,3377426,1,1000 HOUR SERVICE,C&F,6.25,I
JD,470P,1067,S100033721220148001,3372122,1,1000 HOUR SERVICE,C&F,5.00,I
JD,470P,1071,S100047119230157002,4711923,2,1000 HOUR SERVICE,C&F,5.50,I
JD,470P,1080,S100043302540153001,4330254,1,1000 HOUR SERVICE,C&F,5.00,I
JD,470P,1086,S100068025320178002,6802532,2,1000 HOUR SERVICE,C&F,3.50,I
JD,470P,1089,S100068027170178002,6802717,2,1000 HOUR SERVICE,C&F,6.50,I
JD,470P,1166,S100048126110158002,4812611,2,1000 HOUR SERVICE,C&F,5.25,I
JD,470P,1177,S100052152600162002,5215260,2,1000 HOUR SERVICE,C&F,6.50,I
JD,470P,1244,S101785000250178002,178500025,2,1000 HOUR SERVICE,C&F,5.50,I
JD,470P,1361,S100033773640148001,3377364,1,1000 HOUR SERVICE,C&F,6.25,I
JD,470P,1773,S100016561430106003,1656143,3,1000 HOUR SERVICE,C&F,7.50,I
JD,470P,2953,S101785001950178002,178500195,2,1000 HOUR SERVICE,C&F,5.00,I
JD,470P,2958,S100033720420148001,3372042,1,1000 HOUR SERVICE,C&F,5.00,I
JD,470P,2961,S100033720630148001,3372063,1,1000 HOUR SERVICE,C&F,7.25,I
JD,470P,3164,S100033776670148001,3377667,1,1000 HOUR SERVICE,C&F,7.25,I
JD,470P,3167,S100033774450148001,3377445,1,1000 HOUR SERVICE,C&F,7.00,I
JD,470P,4940,S100033772840148001,3377284,1,1000 HOUR SERVICE,C&F,6.25,I
JD,470P,5114,S100017981510107001,1798151,1,1000 HOUR SERVICE,C&F,6.00,I
JD,470P,5297,S100033775290148001,3377529,1,1000 HOUR SERVICE,C&F,7.00,I
JD,470P,6978,S101075002000107002,107500200,2,1000 HOUR SERVICE,C&F,4.12,I
JD,470P,9382,S100033776990148001,3377699,1,1000 HOUR SERVICE,C&F,7.50,I
JD,470P,955,S100019464800109002,1946480,2,1000 HOUR SERVICE (500 HOUR PORTION ON SEG 1),C&F,3.75,I
JD,470P,933,S100017974420107001,1797442,1,1000 HOUR SERVICE AS PER PM AGREEMENT,C&F,3.50,I
JD,470P,998,S100019471540109001,1947154,1,1000 HOUR SERVICE AS PER PM AGREEMENT,C&F,6.00,I
JD,470P,1035,S100017018890107001,1701889,1,1000 HOUR SERVICE AS PER PM AGREEMENT,C&F,5.75,I
JD,470P,1004,S100033951450148001,3395145,1,1000 HR,C&F,6.00,I
JD,470P,978,S100043209200153001,4320920,1,1000 HR PM,C&F,6.50,I
JD,470P,1034,S100019502050109001,1950205,1,1000 HR PM,C&F,5.25,I
